Timestamp,hexa-netbotz1.physics.wisc.edu 5335a-Temp-Rb-Lab           
2018-04-18T05:00:00-05:00,68.8157
2018-04-18T05:30:00-05:00,68.8096
2018-04-18T06:00:00-05:00,68.8336
2018-04-18T06:30:00-05:00,68.7801
2018-04-18T07:00:00-05:00,68.8392
2018-04-18T07:30:00-05:00,68.8382
2018-04-18T08:00:00-05:00,68.8399
2018-04-18T08:30:00-05:00,68.8706
2018-04-18T09:00:00-05:00,69.1106
2018-04-18T09:30:00-05:00,69.055
2018-04-18T10:00:00-05:00,68.8696
2018-04-18T10:30:00-05:00,68.6722
2018-04-18T11:00:00-05:00,68.6893
2018-04-18T11:30:00-05:00,68.6903
2018-04-18T12:00:00-05:00,68.72
2018-04-18T12:30:00-05:00,68.72
2018-04-18T13:00:00-05:00,68.6602
2018-04-18T13:30:00-05:00,68.72
2018-04-18T14:00:00-05:00,68.7984
2018-04-18T14:30:00-05:00,68.7501
2018-04-18T15:00:00-05:00,68.72
2018-04-18T15:30:00-05:00,68.7184
2018-04-18T16:00:00-05:00,68.6315
2018-04-18T16:30:00-05:00,68.7194
2018-04-18T17:00:00-05:00,68.6639
2018-04-18T17:30:00-05:00,68.72
2018-04-18T18:00:00-05:00,68.8454
2018-04-18T18:30:00-05:00,68.7504
2018-04-18T19:00:00-05:00,68.7531
2018-04-18T19:30:00-05:00,68.6603
2018-04-18T20:00:00-05:00,68.4799
2018-04-18T20:30:00-05:00,68.6897
2018-04-18T21:00:00-05:00,68.72
2018-04-18T21:30:00-05:00,68.72
2018-04-18T22:00:00-05:00,68.7497
2018-04-18T22:30:00-05:00,68.7796
2018-04-18T23:00:00-05:00,68.815
2018-04-18T23:30:00-05:00,68.786
2018-04-19T00:00:00-05:00,68.8383
2018-04-19T00:30:00-05:00,68.8228
2018-04-19T01:00:00-05:00,68.8742
2018-04-19T01:30:00-05:00,68.8712
2018-04-19T02:00:00-05:00,68.8701
2018-04-19T02:30:00-05:00,68.8707
2018-04-19T03:00:00-05:00,68.8042
2018-04-19T03:30:00-05:00,68.8342
2018-04-19T04:00:00-05:00,68.8633
2018-04-19T04:30:00-05:00,68.9
2018-04-19T05:00:00-05:00,68.9
2018-04-19T05:30:00-05:00,68.9345
2018-04-19T06:00:00-05:00,68.9208
2018-04-19T06:30:00-05:00,68.9912
2018-04-19T07:00:00-05:00,68.98458571
2018-04-19T07:30:00-05:00,68.9303
2018-04-19T08:00:00-05:00,68.9598
2018-04-19T08:30:00-05:00,68.9302
2018-04-19T09:00:00-05:00,68.9
2018-04-19T09:30:00-05:00,68.9344
2018-04-19T10:00:00-05:00,68.9
2018-04-19T10:30:00-05:00,68.9603
2018-04-19T11:00:00-05:00,69.2907
2018-04-19T11:30:00-05:00,69.5223
2018-04-19T12:00:00-05:00,69.4081
2018-04-19T12:30:00-05:00,69.44
2018-04-19T13:00:00-05:00,69.4037
2018-04-19T13:30:00-05:00,69.2601
2018-04-19T14:00:00-05:00,69.2775
2018-04-19T14:30:00-05:00,69.3739
2018-04-19T15:00:00-05:00,69.3767
2018-04-19T15:30:00-05:00,69.3796
2018-04-19T16:00:00-05:00,69.44
2018-04-19T16:30:00-05:00,69.4701
2018-04-19T17:00:00-05:00,69.5288
2018-04-19T17:30:00-05:00,69.44
2018-04-19T18:00:00-05:00,69.5307
2018-04-19T18:30:00-05:00,69.5598
2018-04-19T19:00:00-05:00,69.4749
2018-04-19T19:30:00-05:00,69.5345
2018-04-19T20:00:00-05:00,69.53438485
2018-04-19T20:30:00-05:00,69.28898571
2018-04-19T21:00:00-05:00,68.7859
2018-04-19T21:30:00-05:00,68.5999
2018-04-19T22:00:00-05:00,68.54
2018-04-19T22:30:00-05:00,68.54
2018-04-19T23:00:00-05:00,68.7151
2018-04-19T23:30:00-05:00,69.0207
2018-04-20T00:00:00-05:00,69.1991
2018-04-20T00:30:00-05:00,69.26
2018-04-20T01:00:00-05:00,69.26
2018-04-20T01:30:00-05:00,69.2602
2018-04-20T02:00:00-05:00,69.3203
2018-04-20T02:30:00-05:00,69.0488
2018-04-20T03:00:00-05:00,68.6352
2018-04-20T03:30:00-05:00,68.4802
2018-04-20T04:00:00-05:00,68.54
2018-04-20T04:30:00-05:00,68.6603
2018-04-20T05:00:00-05:00,68.54
2018-04-20T05:30:00-05:00,68.54
2018-04-20T06:00:00-05:00,68.54
2018-04-20T06:30:00-05:00,68.54
2018-04-20T07:00:00-05:00,68.54
2018-04-20T07:30:00-05:00,68.6007
2018-04-20T08:00:00-05:00,68.72
2018-04-20T08:30:00-05:00,68.6603
2018-04-20T09:00:00-05:00,68.9015
2018-04-20T09:30:00-05:00,69.1086
2018-04-20T10:00:00-05:00,69.0545
2018-04-20T10:30:00-05:00,69.1431
2018-04-20T11:00:00-05:00,69.1053
2018-04-20T11:30:00-05:00,69.2303
2018-04-20T12:00:00-05:00,69.26
2018-04-20T12:30:00-05:00,69.4109
2018-04-20T13:00:00-05:00,69.44
2018-04-20T13:30:00-05:00,69.3193
2018-04-20T14:00:00-05:00,69.26
2018-04-20T14:30:00-05:00,69.4399
2018-04-20T15:00:00-05:00,69.44
2018-04-20T15:30:00-05:00,69.44
2018-04-20T16:00:00-05:00,69.4642
2018-04-20T16:30:00-05:00,69.49948718
2018-04-20T17:00:00-05:00,69.2891
2018-04-20T17:30:00-05:00,69.26
2018-04-20T18:00:00-05:00,69.14
2018-04-20T18:30:00-05:00,69.08
2018-04-20T19:00:00-05:00,69.08
2018-04-20T19:30:00-05:00,68.9364
2018-04-20T20:00:00-05:00,68.7204
2018-04-20T20:30:00-05:00,68.72
2018-04-20T21:00:00-05:00,68.54
2018-04-20T21:30:00-05:00,68.54
2018-04-20T22:00:00-05:00,68.3975
2018-04-20T22:30:00-05:00,68.39
2018-04-20T23:00:00-05:00,68.54
2018-04-20T23:30:00-05:00,68.54
2018-04-21T00:00:00-05:00,68.5658
2018-04-21T00:30:00-05:00,68.6579
2018-04-21T01:00:00-05:00,68.69
2018-04-21T01:30:00-05:00,68.6627
2018-04-21T02:00:00-05:00,68.6899
2018-04-21T02:30:00-05:00,68.72
2018-04-21T03:00:00-05:00,68.6904
2018-04-21T03:30:00-05:00,68.7196
2018-04-21T04:00:00-05:00,68.72
2018-04-21T04:30:00-05:00,68.72
2018-04-21T05:00:00-05:00,68.7498
2018-04-21T05:30:00-05:00,68.7202
2018-04-21T06:00:00-05:00,68.7801
2018-04-21T06:30:00-05:00,68.81
2018-04-21T07:00:00-05:00,68.8099
2018-04-21T07:30:00-05:00,68.804
2018-04-21T08:00:00-05:00,68.8268
2018-04-21T08:30:00-05:00,68.87
2018-04-21T09:00:00-05:00,68.8367
2018-04-21T09:30:00-05:00,68.9005
2018-04-21T10:00:00-05:00,68.8702
2018-04-21T10:30:00-05:00,68.8701
2018-04-21T11:00:00-05:00,68.9
2018-04-21T11:30:00-05:00,68.9896
2018-04-21T12:00:00-05:00,69.0571
2018-04-21T12:30:00-05:00,69.08
2018-04-21T13:00:00-05:00,69.04997097
2018-04-21T13:30:00-05:00,68.906
2018-04-21T14:00:00-05:00,68.8983
2018-04-21T14:30:00-05:00,69.26
2018-04-21T15:00:00-05:00,69.3789
2018-04-21T15:30:00-05:00,69.26
2018-04-21T16:00:00-05:00,69.2373
2018-04-21T16:30:00-05:00,69.2055
2018-04-21T17:00:00-05:00,69.0508
2018-04-21T17:30:00-05:00,69.0432
2018-04-21T18:00:00-05:00,69.0796
2018-04-21T18:30:00-05:00,68.6596
2018-04-21T19:00:00-05:00,68.4077
2018-04-21T19:30:00-05:00,68.6813
2018-04-21T20:00:00-05:00,68.9
2018-04-21T20:30:00-05:00,68.9
2018-04-21T21:00:00-05:00,68.8753
2018-04-21T21:30:00-05:00,68.8646
2018-04-21T22:00:00-05:00,68.9544
2018-04-21T22:30:00-05:00,68.8697
2018-04-21T23:00:00-05:00,68.8702
2018-04-21T23:30:00-05:00,68.8999
2018-04-22T00:00:00-05:00,68.8701
2018-04-22T00:30:00-05:00,68.863
2018-04-22T01:00:00-05:00,68.8406
2018-04-22T01:30:00-05:00,68.8999
2018-04-22T02:00:00-05:00,68.8399
2018-04-22T02:30:00-05:00,68.8399
2018-04-22T03:00:00-05:00,68.5692
2018-04-22T03:30:00-05:00,68.4801
2018-04-22T04:00:00-05:00,68.6586
2018-04-22T04:30:00-05:00,68.6904
2018-04-22T05:00:00-05:00,68.7499
2018-04-22T05:30:00-05:00,68.7799
2018-04-22T06:00:00-05:00,68.806
2018-04-22T06:30:00-05:00,68.8025
2018-04-22T07:00:00-05:00,68.7739
2018-04-22T07:30:00-05:00,68.8457
2018-04-22T08:00:00-05:00,68.8698
2018-04-22T08:30:00-05:00,68.8703
2018-04-22T09:00:00-05:00,68.8398
2018-04-22T09:30:00-05:00,68.8641
2018-04-22T10:00:00-05:00,68.9706
2018-04-22T10:30:00-05:00,69.1355
2018-04-22T11:00:00-05:00,69.075
2018-04-22T11:30:00-05:00,68.9283
2018-04-22T12:00:00-05:00,69.0197
2018-04-22T12:30:00-05:00,69.0152
2018-04-22T13:00:00-05:00,69.2584
2018-04-22T13:30:00-05:00,69.26
2018-04-22T14:00:00-05:00,69.26
2018-04-22T14:30:00-05:00,69.26
2018-04-22T15:00:00-05:00,69.2899
2018-04-22T15:30:00-05:00,69.26
2018-04-22T16:00:00-05:00,69.26
2018-04-22T16:30:00-05:00,69.3079
2018-04-22T17:00:00-05:00,69.2874
2018-04-22T17:30:00-05:00,69.3247
2018-04-22T18:00:00-05:00,69.2001
2018-04-22T18:30:00-05:00,68.84
2018-04-22T19:00:00-05:00,68.871
2018-04-22T19:30:00-05:00,68.7794
2018-04-22T20:00:00-05:00,68.78
2018-04-22T20:30:00-05:00,69.0855
2018-04-22T21:00:00-05:00,69.1096
2018-04-22T21:30:00-05:00,69.1144
2018-04-22T22:00:00-05:00,69.0492
2018-04-22T22:30:00-05:00,68.8097
2018-04-22T23:00:00-05:00,68.6312
2018-04-22T23:30:00-05:00,68.596
2018-04-23T00:00:00-05:00,68.6534
2018-04-23T00:30:00-05:00,68.5702
2018-04-23T01:00:00-05:00,68.54
2018-04-23T01:30:00-05:00,68.54
2018-04-23T02:00:00-05:00,68.54
2018-04-23T02:30:00-05:00,68.54
2018-04-23T03:00:00-05:00,68.54
2018-04-23T03:30:00-05:00,68.4571
2018-04-23T04:00:00-05:00,68.54
2018-04-23T04:30:00-05:00,68.3893
2018-04-23T05:00:00-05:00,68.36
2018-04-23T05:30:00-05:00,68.4203
2018-04-23T06:00:00-05:00,68.54
2018-04-23T06:30:00-05:00,68.54
2018-04-23T07:00:00-05:00,68.54
2018-04-23T07:30:00-05:00,68.5708
2018-04-23T08:00:00-05:00,68.6112
2018-04-23T08:30:00-05:00,68.3895
2018-04-23T09:00:00-05:00,68.5085
2018-04-23T09:30:00-05:00,68.7858
2018-04-23T10:00:00-05:00,68.931
2018-04-23T10:30:00-05:00,69.1097
2018-04-23T11:00:00-05:00,69.0502
2018-04-23T11:30:00-05:00,69.1102
2018-04-23T12:00:00-05:00,69.26
2018-04-23T12:30:00-05:00,69.2181
2018-04-23T13:00:00-05:00,69.2344
2018-04-23T13:30:00-05:00,69.2895
2018-04-23T14:00:00-05:00,69.4104
2018-04-23T14:30:00-05:00,69.4338
2018-04-23T15:00:00-05:00,69.3799
2018-04-23T15:30:00-05:00,69.4743
2018-04-23T16:00:00-05:00,71.4907
2018-04-23T16:30:00-05:00,71.2867
2018-04-23T17:00:00-05:00,69.3563
2018-04-23T17:30:00-05:00,69.4394
2018-04-23T18:00:00-05:00,69.3621
2018-04-23T18:30:00-05:00,69.4094
2018-04-23T19:00:00-05:00,69.5011
2018-04-23T19:30:00-05:00,69.6194
2018-04-23T20:00:00-05:00,69.3803
2018-04-23T20:30:00-05:00,69.1094
2018-04-23T21:00:00-05:00,68.7918
2018-04-23T21:30:00-05:00,68.72
2018-04-23T22:00:00-05:00,68.6303
2018-04-23T22:30:00-05:00,68.54
2018-04-23T23:00:00-05:00,68.54
2018-04-23T23:30:00-05:00,68.54
2018-04-24T00:00:00-05:00,68.54
2018-04-24T00:30:00-05:00,68.4792
2018-04-24T01:00:00-05:00,68.5068
2018-04-24T01:30:00-05:00,68.3935
2018-04-24T02:00:00-05:00,68.4502
2018-04-24T02:30:00-05:00,68.54
2018-04-24T03:00:00-05:00,68.54
2018-04-24T03:30:00-05:00,68.54
2018-04-24T04:00:00-05:00,68.54
2018-04-24T04:30:00-05:00,68.4501
2018-04-24T05:00:00-05:00,68.3991
2018-04-24T05:30:00-05:00,68.36
2018-04-24T06:00:00-05:00,68.2788
2018-04-24T06:30:00-05:00,68.2686
2018-04-24T07:00:00-05:00,68.2738
2018-04-24T07:30:00-05:00,68.36
2018-04-24T08:00:00-05:00,68.2746
2018-04-24T08:30:00-05:00,68.3301
2018-04-24T09:00:00-05:00,68.4207
2018-04-24T09:30:00-05:00,68.718
2018-04-24T10:00:00-05:00,68.9003
2018-04-24T10:30:00-05:00,69.08
2018-04-24T11:00:00-05:00,69.0799
2018-04-24T11:30:00-05:00,69.2006
2018-04-24T12:00:00-05:00,69.1042
2018-04-24T12:30:00-05:00,69.2309
2018-04-24T13:00:00-05:00,69.26
2018-04-24T13:30:00-05:00,69.2608
2018-04-24T14:00:00-05:00,69.2713
2018-04-24T14:30:00-05:00,69.3807
